,Date,Open,High,Low,Close,Volume,MACD_line,Signal_line,Zero_line,Signal,Account Value,Gains/Losses
0,2023-03-01 22:45:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
1,2023-03-01 23:00:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
2,2023-03-01 23:15:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
3,2023-03-01 23:30:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
4,2023-03-01 23:45:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
5,2023-03-02 00:00:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
6,2023-03-02 00:15:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
7,2023-03-02 00:30:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
8,2023-03-02 00:45:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
9,2023-03-02 01:00:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
10,2023-03-02 01:15:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
11,2023-03-02 01:30:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
12,2023-03-02 01:45:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
13,2023-03-02 02:00:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
14,2023-03-02 02:15:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
15,2023-03-02 02:30:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
16,2023-03-02 02:45:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
17,2023-03-02 03:00:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
18,2023-03-02 03:15:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
19,2023-03-02 03:30:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
20,2023-03-02 03:45:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
21,2023-03-02 04:00:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
22,2023-03-02 04:15:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
23,2023-03-02 04:30:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
24,2023-03-02 04:45:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
25,2023-03-02 05:00:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
26,2023-03-02 05:15:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
27,2023-03-02 05:30:00-06:00,1651.98,1651.98,1651.98,1651.98,0.0,0.0,0.0,0,0,100.0,0.0
