,index,Date,Open,High,Low,Close,Volume,Slope,Intercept,Upper_Deviation,Lower_Deviation,Correlation,HH,LL,K,D,Crossover,VZO
16,31,2023-03-30 02:30:00-05:00,1799.79,1812.8,1798.46,1805.84,516.0565,0.1566770527859228,1792.9824431818183,1811.195254241442,1774.7696321221947,0.5228593752534866,1812.8,1789.67,69.90920881971434,72.23054196847504,-1,55.251748789540336
17,32,2023-03-30 02:45:00-05:00,1806.15,1809.72,1804.28,1806.26,287.4561,0.20086898395721842,1792.5257932263814,1810.8453889402942,1774.2061975124686,0.5130954721349034,1812.8,1790.87,70.17783857729162,75.07770028211756,0,63.62539880956873
18,33,2023-03-30 03:00:00-05:00,1806.12,1808.29,1804.37,1807.02,265.9115,0.24052711993888384,1792.1027731092438,1810.55291370646,1773.6526325120276,0.5048147417133693,1812.8,1790.87,73.64341085271337,71.24348608323977,1,69.68038788251323
19,34,2023-03-30 03:15:00-05:00,1807.41,1808.32,1804.46,1806.12,120.9492,0.26833333333333215,1791.796904761905,1810.2884017858044,1773.3054077380054,0.49988652620693147,1812.8,1790.87,69.53944368445032,71.12023103815177,-1,56.04556118178753
20,35,2023-03-30 03:30:00-05:00,1806.33,1806.46,1798.27,1798.94,191.6657,0.25820463320463244,1791.911696696697,1810.1574166557832,1773.6659767376107,0.500078325672084,1812.8,1790.87,36.798905608755774,59.993920048639815,0,36.11117006109761
21,36,2023-03-30 03:45:00-05:00,1799.48,1801.93,1798.72,1799.18,91.146,0.24955429113323813,1792.0126173541962,1810.0258431092382,1773.9993915991543,0.5001584405169732,1812.8,1790.87,37.89329685362585,48.07721538227731,0,40.27058044510651
22,37,2023-03-30 04:00:00-05:00,1799.14,1800.41,1797.26,1797.44,228.1572,0.23414487361855776,1792.1975303643726,1809.96825842537,1774.426802303375,0.500240721707773,1812.8,1793.1,22.030456852792565,32.24088643839139,0,17.974028590655895
23,38,2023-03-30 04:15:00-05:00,1796.91,1798.62,1793.47,1797.6,116.8376,0.22070242914979715,1792.3633205128208,1809.9020171776747,1774.824623847967,0.5002907099800586,1812.8,1793.1,22.842639593908576,27.588797766775667,0,25.010370207575935
24,39,2023-03-30 04:30:00-05:00,1797.67,1798.38,1795.46,1798.2,151.9344,0.21056566604127566,1792.4917195121952,1809.8118986357435,1775.171540388647,0.5002483281243726,1812.8,1793.1,25.88832487309708,23.58714043993274,1,33.56371281658655
25,40,2023-03-30 04:45:00-05:00,1798.56,1801.56,1797.68,1800.33,64.4791,0.2085296167247383,1792.5181881533101,1809.6601799833877,1775.3761963232325,0.49948979661863063,1812.8,1793.1,36.70050761421321,28.477157360406284,0,37.06544316886646
26,41,2023-03-30 05:00:00-05:00,1800.52,1805.43,1799.85,1805.1,120.9612,0.22192528968478994,1792.3395791805096,1809.469051605301,1775.2101067557182,0.4950057589359439,1812.8,1793.32,60.47227926078009,41.02037058269679,0,43.52543171485162
27,42,2023-03-30 05:15:00-05:00,1805.12,1805.12,1798.75,1799.99,163.7872,0.21662790697674367,1792.4119767441866,1809.3627043359886,1775.4612491523847,0.49462955272684955,1812.8,1793.47,33.72995344024835,43.63424677174722,-1,23.676781276540652
